
Lexeme         LINENO         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol          
DECLARE        1              DECLARE                  ----                     moduleDeclaration        y                        DECLARE             
----           -1             ----                     ----                     moduleDeclarations       n                        moduleDeclaration   
MODULE         1              MODULE                   ----                     moduleDeclaration        y                        MODULE              
readArr        1              ID                       ----                     moduleDeclaration        y                        ID                  
SEMICOL        1              SEMICOL                  ----                     moduleDeclaration        y                        SEMICOL             
----           -1             ----                     ----                     program                  n                        moduleDeclarations  
EMPTY          -1             EMPTY                    ----                     moduleDeclarations       y                        EMPTY               
----           -1             ----                     ----                     moduleDeclarations       n                        moduleDeclarations  
----           -1             ----                     ----                     [ROOT]                   n                        program             
DEF            3              DEF                      ----                     module                   y                        DEF                 
----           -1             ----                     ----                     otherModules             n                        module              
MODULE         3              MODULE                   ----                     module                   y                        MODULE              
arraySum       3              ID                       ----                     module                   y                        ID                  
ENDDEF         3              ENDDEF                   ----                     module                   y                        ENDDEF              
TAKES          4              TAKES                    ----                     module                   y                        TAKES               
INPUT          4              INPUT                    ----                     module                   y                        INPUT               
SQBO           4              SQBO                     ----                     module                   y                        SQBO                
list           4              ID                       ----                     input_plist              y                        ID                  
----           -1             ----                     ----                     module                   n                        input_plist         
COLON          4              COLON                    ----                     input_plist              y                        COLON               
ARRAY          4              ARRAY                    ----                     dataType                 y                        ARRAY               
----           -1             ----                     ----                     input_plist              n                        dataType            
SQBO           4              SQBO                     ----                     dataType                 y                        SQBO                
----           4              NUM                      1                        index                    y                        NUM                 
----           -1             ----                     ----                     range_arrays             n                        index               
----           -1             ----                     ----                     dataType                 n                        range_arrays        
RANGEOP        4              RANGEOP                  ----                     range_arrays             y                        RANGEOP             
----           4              NUM                      15                       index                    y                        NUM                 
----           -1             ----                     ----                     range_arrays             n                        index               
SQBC           4              SQBC                     ----                     dataType                 y                        SQBC                
OF             4              OF                       ----                     dataType                 y                        OF                  
REAL           4              REAL                     ----                     type                     y                        REAL                
----           -1             ----                     ----                     dataType                 n                        type                
COMMA          4              COMMA                    ----                     input_plistNew           y                        COMMA               
----           -1             ----                     ----                     input_plist              n                        input_plistNew      
n              4              ID                       ----                     input_plistNew           y                        ID                  
COLON          -1             INTEGER                  ----                     input_plistNew           y                        COLON               
INTEGER        4              INTEGER                  ----                     type                     y                        INTEGER             
----           -1             ----                     ----                     dataType                 n                        type                
----           -1             ----                     ----                     input_plistNew           n                        dataType            
EMPTY          -1             EMPTY                    ----                     input_plistNew           y                        EMPTY               
----           -1             ----                     ----                     input_plistNew           n                        input_plistNew      
SQBC           4              SQBC                     ----                     module                   y                        SQBC                
SEMICOL        4              SEMICOL                  ----                     module                   y                        SEMICOL             
RETURNS        5              RETURNS                  ----                     ret                      y                        RETURNS             
